Servicio,Distrito,Medidor
168849,8,9116092
577585,1,9116732
279460,28,9118303
329777,5,9120272
996521,29,9015708
419129,1,9118533
578635,1,9120255
127143,35,9120099
1012522,1,9115751
127145,35,9119269
910123,1,9116544
168780,8,9118368
1027461,47,9103034
1006953,36,9018210
420449,1,9102810
652954,1,9118043
884722,47,9116873
100563,18,9118145
421585,1,9116831
168242,8,9119134
421580,1,9116541
1004010,1,9116080
727988,1,9116757
279491,28,9117407
168816,8,9102907
347029,26,9120238
971616,23,9018840
216505,28,9120147
278817,28,9119416
362990,47,9103044
119066,18,9118309
329463,2,9120021
329774,5,9120008
376198,45,9119937
958338,36,9119826
1199974,1,9029337
848561,23,9019953
419897,1,9117589
421728,1,9120684
423257,1,9118323
498459,1,9117780
1103117,49,9120184
419121,1,9117710
420906,1,9118086
422158,1,9118255
914636,1,9018748
952494,1,9027554
360299,24,9102916
419585,1,9118292
867679,25,9102815
1195339,8,9117915
877213,1,9117931
279253,28,9120080
1337832,45,9038279
1355627,28,9117468
1355874,5,9120013
1355884,5,9002117
127155,35,9115673
779673,1,9116624
1384356,36,9115672
578632,1,9116734
727934,1,9116514
362154,45,9115543
1406419,1,
1415349,47,9102956
128094,44,9117820
890386,1,9117027
1194333,42,9029016
247494,28,9118210
348462,23,9118466
419096,1,9116857
419660,1,9117050
815763,34,9102895
829888,1,9116866
513138,1,9116718
421789,1,9118093
413547,45,9115854
419671,1,9116648
419592,1,9116715
397496,47,9117633
420295,1,9116835
1820967,1,9117764
1039759,22,9118848
279296,28,9117470
1029352,1,9118353
2701913,7,9102600
362403,45,9118271
833403,18,9118736
100411,18,9119425
2725831,26,9007942
1550178,1,9118075
329881,4,9021173
2731565,1,9116905
191342,8,9119956
419172,1,9117517
278424,33,9115800
168233,8,9115522
168220,8,9119142
2750551,41,9029598
886896,1,9117275
727839,1,9120039
100504,18,9118690
2726337,2,9028885
356395,24,9118538
420924,1,9118100
930781,1,9119908
329821,4,9119215
2775914,28,9060472
2172349,28,9015631
2778222,1,9102980
419649,1,9102926
1188262,11,9119385
815742,2,9115769
2788443,1,
2745324,1,9116385
419808,1,9116661
865771,1,9116676
2797926,28,9118892
2726267,8,9011097
707075,1,9116681
1227953,1,9117605
329499,2,9120007
904102,1,9117300
100173,20,9010749
168250,8,9115657
814354,1,9116783
210063,8,9119967
868851,1,9116739
675266,1,9117259
419647,1,9118256
420255,1,9115959
420292,1,9117198
1171272,8,9102958
168729,8,9119192
1188612,1,9115587
421444,1,9117229
2764725,1,9118046
420099,1,9116588
421830,1,9117107
419200,1,9116985
728769,1,9119143
120860,18,9117963
418385,1,9118324
452264,1,9117673
387012,47,9120220
215023,28,9120170
2754315,47,9118154
1515460,1,9008220
1300177,18,9119549
2286351,1,9117803
279375,28,9001708
478801,1,9118728
2783716,28,9119450
310577,2,9119999
906136,1,9119090
831467,1,9118280
1424734,1,9118457
168650,8,9119945
1024783,10,9119663
767470,1,9118420
2846509,1,9119893
168777,8,9118443
541338,1,9119590
744790,1,9120257
419713,1,9102808
420616,1,9116800
629684,1,9115968
168252,8,9115501
420085,1,9115538
2862377,1,9120643
190646,8,9119208
158757,36,9118787
2808104,2,9115748
1313946,1,9118640
419093,1,9117005
128079,43,9022911
732833,1,9117242
2580684,1,9117683
2882654,1,
127669,37,9072098
100249,18,9102952
434262,1,9116888
168231,8,9115923
362284,45,9118333
421413,1,9116995
2878053,19,9119609
2890963,23,9119643
715749,1,9117104
1272648,29,9120150
960979,1,9117790
2900961,1,
2905942,8,9119375
576816,1,9119033
420689,1,9118136
419820,1,9118387
645057,1,9117932
2855909,1,9117666
1198500,1,9115813
891214,1,9116684
376243,45,9119311
148624,36,9029255
165719,35,9120090
2474690,1,9116845
168677,8,9020203
279151,28,9115615
2720904,26,9119816
685664,1,9116993
147869,35,9120121
1463016,1,9119626
849097,45,9118684
420256,1,9116597
168261,8,9116071
419324,1,9119298
2851571,1,9102760
1225299,18,9119526
2939454,1,9119791
887112,45,9118260
420792,1,9118898
2752252,24,9118562
127353,35,9116081
2769801,1,9116823
821614,36,9028999
100580,18,9119219
2951883,1,9118126
962379,46,9119829
2807867,8,9119144
189725,8,9119191
976395,1,9116565
209901,8,9118160
359884,22,9118956
191433,8,9119946
127430,36,9102734
923364,24,9118542
2788213,8,9119685
419578,1,9118325
707107,1,90000009
438857,1,9117750
1026250,20,9010743
420223,1,9117261
168783,8,9115962
168796,8,9119475
100166,18,9116052
897491,1,9103068
2758430,1,9118580
643375,1,9116791
420749,1,9117774
419888,1,9117858
885177,1,9120852
941320,1,9116394
165641,35,9120119
2973968,28,9117440
419146,1,9116480
2956900,8,9119137
1004615,1,9118024
395561,47,9118959
1327486,1,9117806
944172,1,9118363
1143805,28,9119680
423358,1,9117620
189200,8,9118190
420491,1,9102758
2734788,13,9119478
1089432,1,9117755
2889314,36,9072140
625749,1,9117702
2801592,15,9022091
149490,35,9120104
2974047,1,9116433
2784415,8,9115814
551237,1,9120203
577341,1,9116910
419154,1,9117552
358567,26,9115726
870620,5,9118960
2149465,28,9117456
715798,1,9117791
862076,35,9118181
2983467,1,9118072
467713,1,9119081
870881,1,9117067
362417,45,9118705
796234,1,9119087
2940256,47,9119764
2991246,1,
127780,39,9118788
421598,1,9118552
954659,28,9010948
324249,3,9119986
758309,1,9118442
825759,1,9117349
2184981,2,9119852
2889018,28,9120189
3006132,1,
419433,1,9118372
1036879,1,9119591
419828,1,9102864
838292,1,9119321
982721,20,9009831
1286360,37,9119853
2956690,28,9115807
362091,46,9119281
2765743,1,9116069
1921148,1,9116787
329147,3,9119994
168229,8,9115561
2813185,47,9119740
329436,2,9115736
3009337,49,9120258
483745,1,9119703
898772,1,9117610
421445,1,9117491
920207,1,9115504
121872,18,9119926
419580,1,9118969
426054,1,9120585
2815431,29,9118759
2789111,1,9115728
419928,1,9116748
889247,1,9117046
887058,1,9116420
127481,36,9001092
419529,1,9116833
1367307,1,9118611
419028,1,9115622
2980835,1,9119675
3030278,1,9119811
279539,28,9103038
910359,8,9119958
1330728,8,9118374
3026031,46,9118272
2999563,28,9118756
419192,1,9117023
1220024,1,9116004
420668,1,9116657
454490,1,9116430
1354059,1,9119616
3024986,1,9119721
1360543,1,9116512
827703,1,9119079
1203211,1,9117247
833215,1,9116408
873947,1,9116381
100561,18,9118721
749797,1,9117935
3031637,1,9116490
396052,47,9120251
419983,1,9116584
419756,1,9118386
127150,35,9118182
2929162,45,9119096
872562,1,9102993
1206711,35,9119828
157314,36,9115686
431891,1,9119504
763339,1,9118549
420218,1,9117587
152838,35,9118176
877532,1,9118703
2829051,1,9120667
572433,1,9116879
1216676,1,9118882
168839,12,9119427
3042411,24,9119595
877476,32,9119804
420112,1,9117887
3048838,8,9115509
2762498,18,9118774
167996,9,9119331
329311,2,9102960
3054902,1,9120842
240202,28,9117438
911737,35,9120116
705141,1,9115965
2788459,8,9119460
349257,23,9118548
350966,24,9118475
2794700,8,9119326
1266026,41,9118852
2895844,1,9115958
757069,1,9116792
2809381,1,9116557
1469774,1,9117127
362374,45,9115787
361588,46,9115873
1426707,6,9115733
100024,21,9119452
890281,1,9102772
1387676,1,9118474
2523499,1,9116239
685642,1,9117238
106630,18,9119933
100047,20,9001216
386720,47,9117387
629714,1,9117658
1037761,28,9119681
464801,1,9117450
1020124,6,9120267
420033,1,9119633
484440,1,9117675
543476,1,9116689
2729472,1,9117551
3012920,1,9116373
633992,1,9116566
2786399,28,9014526
419558,1,9117524
2766060,47,9102998
419833,1,9119815
952918,1,9116505
419078,1,9116553
3014565,12,9117920
979435,1,9116053
3011350,22,9118620
594982,1,9118491
100456,18,9103066
2949488,1,9118095
3029414,1,9119025
420107,1,9119100
922244,1,9117653
521706,1,9117225
3022968,6,9119847
3083229,8,9117981
650768,1,9115937
2723521,1,9116916
2874076,1,9118281
856711,26,9120827
3031598,8,9118155
844418,2,9115722
861295,47,9102782
523111,1,9117221
3077344,47,9117190
189390,8,9119114
2857675,45,9117988
746349,1,9117002
419608,1,9117222
523152,1,9119060
3088122,45,9117895
629913,1,9119476
279414,28,9119403
419332,1,9118406
935062,23,9120126
3076139,1,
749523,1,9119756
362024,46,9119235
119451,18,9119923
595071,1,9115953
2867305,1,9119497
2896046,47,9119593
3082290,1,9120726
990215,35,9102812
891178,36,9118862
1494847,1,9117102
419453,1,9116017
977897,1,9116969
329453,2,9115738
499058,1,9115914
648660,1,9116829
728366,1,9118687
398349,47,9119736
3070361,1,9120644
2950107,1,9119806
1305479,1,9102750
100540,18,9119466
924716,23,9118903
1171639,28,9118300
421644,1,9102987
419256,1,9116497
127648,37,9119265
1032992,1,9102976
3106987,1,
420224,1,9018158
100567,18,9118143
1169816,18,9119530
2806570,45,9000739
3105012,1,
200953,8,9116922
332673,22,9117211
329688,6,9102709
3062182,8,9120772
419067,1,9117192
407835,47,9118946
419138,1,9119272
1051882,28,9119400
2916248,8,9115837
3092449,1,
419301,1,9118481
